"StoreName","Date","SpotTarget","genSpotTarget"
"MEDKART A PARIMAL","2024/09/01-2024/09/03","6000","4000"
"MEDKART A PARIMAL","2024/09/04-2024/09/06","1000","500"
"MEDKART A PARIMAL","2024/09/24-2024/09/26","2000","200"
"MEDKART A SHAHIBAUG","2024/06/03-2024/06/05","10000","6000"
"MEDKART A PRERNATIRTH","2024/07/01-2024/07/03","6000","4000"
"MEDKART A GULAB TOWER","2024/07/04-2024/07/06","5000","4000"
"MEDKART A GULAB TOWER","2024/09/24-2024/09/26","4000","3000"
"MEDKART B AKOTA","2024/06/03-2024/06/05","500","400"
