store_name,created_at,SpotTarget,genSpotTarget,OriginalDateRange,bill_amount,generic_positive,generic_negative,positive_sales,negative_sales,Achieved,overall_Achieved
MEDKART A PARIMAL,2024-09-04,333.3333333333333,166.66666666666666,2024/09/04-2024/09/06,248.0,0.0,0.0,248.0,0.0,False,False
MEDKART A PARIMAL,2024-09-05,333.3333333333333,166.66666666666666,2024/09/04-2024/09/06,954.42,0.0,0.0,954.42,0.0,False,False
MEDKART A PARIMAL,2024-09-06,333.3333333333333,166.66666666666666,2024/09/04-2024/09/06,918.14,0.0,0.0,918.14,0.0,False,False
MEDKART A PARIMAL,2024-09-24,666.6666666666666,66.66666666666667,2024/09/24-2024/09/26,24.66,49.32,-24.66,49.32,-24.66,False,True
MEDKART A PARIMAL,2024-09-25,666.6666666666666,66.66666666666667,2024/09/24-2024/09/26,2794.25,266.29,0.0,2794.25,0.0,True,True
MEDKART A PARIMAL,2024-09-26,666.6666666666666,66.66666666666667,2024/09/24-2024/09/26,7446.72,36.0,0.0,7446.72,0.0,False,True
MEDKART B AKOTA,2024-06-03,166.66666666666666,133.33333333333334,2024/06/03-2024/06/05,413.70000000000005,698.7,0.0,773.7,-360.0,True,False
MEDKART B AKOTA,2024-06-05,166.66666666666666,133.33333333333334,2024/06/03-2024/06/05,-1589.56,0.0,0.0,513.44,-2103.0,False,False
